date,GDP,GDP_growth
20150630,537856102,0.07
20150331,457537090,0.07
20141231,664644963,0.074
20140930,555288434,0.074
20140630,502617628,0.074
20140331,427604757,0.074
20131231,618850059,0.077
20130930,517028337,0.077
20130630,467986618,0.076
20130331,398142232,0.078
20121231,574605440,0.077
20120930,479316049,0.076
20120630,435618296,0.077
20120331,369334167,0.08
20111231,532415861,0.095
20110930,446155623,0.097
20110630,405426392,0.1
20110331,341976081,0.102
20101231,488211781,0.106
20100930,408563350,0.109
20100630,369133671,0.114
20100331,310323122,0.124
20091231,444082305,0.092
20090930,371156876,0.083
20090630,333837121,0.075
20090331,276088187,0.066
20081231,399202626,0.096
20080930,338520680,0.105
20080630,308377833,0.11
20080331,258994547,0.113
20071231,370968011,0.142
20070930,308666436,0.145
20070630,278446785,0.145
20070331,232699503,0.141
20061231,326721533,0.127
20060930,269577674,0.128
20060630,242472499,0.131
20060331,203943473,0.124
20051231,290466974,0.113
20050930,240037058,0.111
20050630,213264711,0.11
20050331,181444371,0.111
20041231,259949970,0.101
20040930,215734891,0.104
20040630,192277502,0.107
20040331,163316266,0.106
20031231,237513618,0.1
20030930,196284927,0.101
20030630,173559023,0.097
20030331,147663893,0.107
20021231,216348776,0.091
20020930,177214940,0.09
20020630,159428380,0.087
20020331,133391051,0.087
20011231,197907929,0.083
20010930,161841093,0.086
20010630,146668243,0.088
20010331,122714858,0.093
20001231,183840403,0.084
20000930,149480923,0.087
20000630,135321333,0.087
20000331,112273429,0.088
19991231,170605431,0.076
19990930,137516949,0.079
19990630,124585580,0.081
19990331,103192490,0.088
19981231,159499146,0.078
19980930,127839082,0.073
19980630,115864479,0.07
19980331,94846039,0.073
19971231,146494954,0.092
19970930,118591151,0.095
19970630,108532392,0.1
19970331,88393326,0.102
19961231,134944491,0.099
19960930,109119879,0.099
19960630,98811651,0.101
19960331,80211729,0.107
19951231,122788436,0.11
19950930,99586061,0.107
19950630,90142055,0.111
19950331,72458653,0.12
19941231,109980093,0.131
19940930,90489143,0.126
19940630,81660047,0.126
19940331,64695226,0.132
19931231,96311570,0.139
19930930,80363360,0.14
19930630,72826780,0.147
19930331,57151260,0.149
19921231,84720000,0.143
19920930,71190000,0.133
19920630,63580000,0.133
19920331,49740000,0.135
