date,inflation
20150630,-0.004
20150331,0.01
20141231,0.001
20140930,0.008
20140630,-0.003
20140331,0.01
20131231,0.003
20130930,0.014
20130630,-0.004
20130331,0.012
20121231,0.008
20120930,0.01
20120630,-0.009
20120331,0.0159
20111231,0.0021
20110930,0.0124
20110630,0.005
20110331,0.0208
20101231,0.0223
20100930,0.0158
20100630,-0.0043
20100331,0.0113
20091231,0.0129
20090930,0.0094
20090630,-0.0102
20090331,0.0064
20081231,-0.0134
20080930,0
20080630,-0.005
20080331,0.031
20071231,0.02
20070930,0.019
20070630,0.0029
20070331,0.028
20061231,0.0233
20060930,0.0347
20060630,0.0042
20060331,0.0123
20051231,0.0123
20050930,0.0011
20050630,-0.0222
20050331,0.016
20041231,0.009
20040930,0.009
20040630,0
20040331,0.018
20031231,0.037
20030930,0.002
20030630,-0.027
20030331,0.017
20021231,0.014
20020930,-0.003
20020630,-0.028
20020331,0.002
20011231,0.011
20010930,-0.007
20010630,-0.021
20010331,0.015
