date,RR
20150630,0.18
20150331,0.195
20141231,0.2
20140930,0.2
20140630,0.2
20140331,0.2
20131231,0.2
20130930,0.2
20130630,0.2
20130331,0.2
20121231,0.2
20120930,0.2
20120630,0.2
20120331,0.21
20111231,0.21
20110930,0.215
20110630,0.215
20110331,0.2
20101231,0.185
20100930,0.17
20100630,0.17
20100331,0.165
20091231,0.155
20090930,0.155
20090630,0.155
20090331,0.155
20081231,0.155
20080930,0.175
20080630,0.175
20080331,0.155
20071231,0.145
20070930,0.125
20070630,0.115
20070331,0.1
20061231,0.09
20060930,0.085
20060630,0.075
20060331,0.075
20051231,0.075
20050930,0.075
20050630,0.075
20050331,0.075
20041231,0.075
20040930,0.075
20040630,0.075
20040331,0.07
20031231,0.07
20030930,0.07
20030630,0.06
20030331,0.06
20021231,0.06
20020930,0.06
20020630,0.06
20020331,0.06
20011231,0.06
20010930,0.06
20010630,0.06
20010331,0.06
20001231,0.06
20000930,0.06
20000630,0.06
20000331,0.06
19991231,0.06
19990930,0.08
19990630,0.08
19990331,0.08
19981231,0.08
19980930,0.08
19980630,0.08
19980331,0.08
19971231,0.13
19970930,0.13
19970630,0.13
19970331,0.13
19961231,0.13
19960930,0.13
19960630,0.13
19960331,0.13
